Pursued agent strategy: NoOp
Pursuer agent strategy: Greedy
Pursued agent metrics: {}
Pursuer agent 0 metrics: {}
Pursuer agent 1 metrics: {}
Transcript:
Pursued	Pursuer0	Pursuer1
(1, 1)	(7, 1)	(7, 2)
(1, 1)	(6, 1)	(6, 2)
(1, 1)	(5, 1)	(5, 2)
(1, 1)	(5, 1)	(4, 2)
(1, 1)	(5, 1)	(3, 2)
(1, 1)	(5, 1)	(2, 2)
(1, 1)	(5, 1)	(2, 1)
(1, 1)	(5, 1)	(1, 1)
